,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
DilutedEPS,6.29,15.15,27.68,44.15,39.75,6.45,9.22,8.31,9.21,11.91,11.89,3.28,5.61,6.11,6.13,6.08,7.46
SharesBasic,893016000.0,909461000.0,924258000.0,934818000.0,925331000.0,6085572000.0,5753421000.0,5470820000.0,5217242000.0,4955377000.0,4617834000.0,17352119000.0,16701272000.0,16215963000.0,15744231000.0,15343783000.0,14948500000.0
SharesOutstanding,899805500.0,915970050.0,929277000.0,939208000.0,899213000.0,5866161000.0,5578753000.0,5336166000.0,5126201000.0,4754986000.0,4443236000.0,16976763000.0,16426786000.0,15943425000.0,15550061000.0,15116786000.0,14773260000.0
period_end_date_missing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
IntangibleAmortization,,69000000.0,192000000.0,605000000.0,960000000.0,1100000000.0,1300000000.0,1500000000.0,1200000000.0,,,,,,,,
OtherNonOperatingIncome,,,-104000000.0,-566000000.0,-324000000.0,-431000000.0,-903000000.0,-1195000000.0,-133000000.0,-441000000.0,422000000.0,-87000000.0,60000000.0,-228000000.0,-382000000.0,,
PPE,,,7777000000.0,15452000000.0,16597000000.0,20624000000.0,22471000000.0,27010000000.0,33783000000.0,41304000000.0,37378000000.0,36766000000.0,39440000000.0,42117000000.0,43715000000.0,45680000000.0,49834000000.0
PPE_Gross,,,11768000000.0,21887000000.0,28519000000.0,39015000000.0,49257000000.0,61245000000.0,75076000000.0,90403000000.0,95957000000.0,103526000000.0,109723000000.0,114457000000.0,114599000000.0,119128000000.0,125848000000.0
AccumulatedDepreciation,,,3991000000.0,6435000000.0,11922000000.0,18391000000.0,26786000000.0,34235000000.0,41293000000.0,49099000000.0,58579000000.0,66760000000.0,70283000000.0,72340000000.0,70884000000.0,73448000000.0,76014000000.0
InterestExpense,,,,,136000000.0,384000000.0,733000000.0,1456000000.0,2323000000.0,3240000000.0,3576000000.0,2873000000.0,2645000000.0,2931000000.0,3933000000.0,,
LongTermDebt,,,,,16960000000.0,28987000000.0,53463000000.0,75427000000.0,97207000000.0,93735000000.0,91807000000.0,98667000000.0,109106000000.0,98959000000.0,95281000000.0,85750000000.0,78328000000.0
