,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
InvestingCF,-11314000000.0,-14616000000.0,-24786000000.0,-23811000000.0,-18833000000.0,-23001000000.0,-23950000000.0,-46781000000.0,-6061000000.0,-15773000000.0,-12223000000.0,-27577000000.0,-30311000000.0,-22680000000.0,-96970000000.0,-72599000000.0
FinancingCF,-13291000000.0,-8376000000.0,-9408000000.0,-8148000000.0,-8394000000.0,-9080000000.0,-8393000000.0,8408000000.0,-33590000000.0,-36887000000.0,-46031000000.0,-48486000000.0,-58876000000.0,-43935000000.0,-37757000000.0,-51699000000.0
CapEx,1977000000.0,2355000000.0,2305000000.0,4257000000.0,5485000000.0,5944000000.0,8343000000.0,8129000000.0,11632000000.0,13925000000.0,15441000000.0,20622000000.0,23886000000.0,28107000000.0,44477000000.0,64551000000.0
Buybacks,11269000000.0,11555000000.0,5029000000.0,5360000000.0,7316000000.0,14443000000.0,15969000000.0,11788000000.0,10721000000.0,19543000000.0,22968000000.0,27385000000.0,32696000000.0,22245000000.0,17254000000.0,18420000000.0
DividendsPaid,4578000000.0,5180000000.0,6385000000.0,7455000000.0,8879000000.0,9882000000.0,11006000000.0,11845000000.0,12699000000.0,13811000000.0,15137000000.0,16521000000.0,18135000000.0,19800000000.0,21771000000.0,24082000000.0
SharesDiluted,8927000000.0,8593000000.0,8506000000.0,8470000000.0,8399000000.0,8254000000.0,8013000000.0,7832000000.0,7794000000.0,7753000000.0,7683000000.0,7608000000.0,7540000000.0,7472000000.0,7469000000.0,7465000000.0
DilutedEPS,2.1,2.69,2.0,2.58,2.63,1.48,2.1,2.71,2.13,5.06,5.76,8.05,9.65,9.68,11.8,13.64
SharesBasic,8813000000.0,8490000000.0,8396000000.0,8375000000.0,8299000000.0,8177000000.0,7925000000.0,7746000000.0,7700000000.0,7673000000.0,7610000000.0,7547000000.0,7496000000.0,7446000000.0,7431000000.0,7433000000.0
SharesOutstanding,8668000000.0,8376000000.0,8381000000.0,8328000000.0,8239000000.0,8027000000.0,7808000000.0,7708000000.0,7677000000.0,7643000000.0,7571000000.0,7519000000.0,7464000000.0,7432000000.0,7434000000.0,7434000000.0
period_end_date_missing,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SG&A,17218000000.0,18162000000.0,18426000000.0,20425000000.0,20632000000.0,20324000000.0,19260000000.0,20020000000.0,22223000000.0,23098000000.0,24709000000.0,25224000000.0,27725000000.0,30334000000.0,32065000000.0,32877000000.0
GoodwillImpairment,,,6193000000.0,,,,,,,,,,,,,
CurrentPortionLongTermDebt,,,1231000000.0,2999000000.0,,2499000000.0,,1049000000.0,3998000000.0,5516000000.0,3749000000.0,8072000000.0,2749000000.0,5247000000.0,2249000000.0,2999000000.0
NOL_Carryforward,,,2000000000.0,2700000000.0,3600000000.0,4600000000.0,8000000000.0,13700000000.0,,,,,,,,
RestructuringCharges,,,,,,2078000000.0,501000000.0,306000000.0,,,,,,,,
ImpairmentLoss,,,,,,7498000000.0,630000000.0,,,,,,,,,
FinanceLeaseAmortization,,,,,,,28000000.0,104000000.0,243000000.0,370000000.0,611000000.0,921000000.0,980000000.0,1352000000.0,1800000000.0,3408000000.0
FinanceLeasePrincipalPayments,,,,,,,6000000.0,46000000.0,144000000.0,221000000.0,409000000.0,648000000.0,896000000.0,1056000000.0,1286000000.0,2283000000.0
LeaseCost,,,,,,,936000000.0,1412000000.0,1585000000.0,1707000000.0,2043000000.0,2127000000.0,2461000000.0,2875000000.0,3555000000.0,5524000000.0
LeaseLiabilityNoncurrent_Operating,,,,,,,,5372000000.0,5568000000.0,6188000000.0,7671000000.0,9629000000.0,11489000000.0,12728000000.0,15497000000.0,17437000000.0
FinanceLeaseLiability_Total,,,,,,,,2538000000.0,4301000000.0,6574000000.0,9496000000.0,12541000000.0,14902000000.0,17067000000.0,27145000000.0,46172000000.0
ROU_Asset_Operating,,,,,,,,,6686000000.0,7379000000.0,8753000000.0,11088000000.0,13148000000.0,14346000000.0,18961000000.0,24823000000.0
FinanceLeaseLiabilityPaymentsDue,,,,,,,,,6034000000.0,8776000000.0,12023000000.0,15201000000.0,17668000000.0,20634000000.0,34149000000.0,60506000000.0
FinanceLeaseLiabilityUndiscountedExcessAmount,,,,,,,,,1733000000.0,2202000000.0,2527000000.0,2660000000.0,2766000000.0,3567000000.0,7004000000.0,14334000000.0
JVA_Investment,,,,,,,,,,,,,,,6000000000.0,6000000000.0
